gene_id	gene_name	chr	tss	gene_expr_log2_mean
ENSG00000242268.2	RP11-368I23.2	chr3	168621153	0.000000
ENSG00000167578.12	RAB4B	chr19	41284120	3.891419
ENSG00000270112.2	RP11-742D12.2	chr18	44336449	0.000000
ENSG00000078237.4	C12orf5	chr12	4430370	4.303050
ENSG00000263642.1	MIR4802	chr4	40504086	0.000000
ENSG00000225275.4	NUP210P2	chr3	11941484	0.000000
ENSG00000269416.1	CTB-175P5.4	chr19	23590843	1.111031
ENSG00000236850.4	BMS1P20	chr22	22657588	0.000000
ENSG00000060642.6	PIGV	chr1	27113962	1.097611
ENSG00000231981.3	RPL7L1P12	chr13	99602651	0.000000
ENSG00000201788.1	Y_RNA	chr12	45274702	0.000000
ENSG00000019995.6	ZRANB1	chr10	126630691	0.000000
ENSG00000167700.4	MFSD3	chr8	145734456	0.713696
ENSG00000172137.14	CALB2	chr16	71392615	0.056584
ENSG00000240423.1	LINC00636	chr3	107602094	0.000000
ENSG00000271616.1	RP11-578F21.13	chr15	29076278	0.000000
ENSG00000264310.1	AL157883.1	chr9	78338696	0.000000
ENSG00000236040.1	CHIAP1	chr1	111792875	0.000000
ENSG00000231105.1	RP5-1071N3.1	chr1	21619782	0.028569
ENSG00000182141.5	ZNF708	chr19	21512088	2.384050
ENSG00000136895.14	GARNL3	chr9	129986543	0.056584
ENSG00000231112.1	MTHFD2P3	chr6	108307185	0.000000
ENSG00000271100.1	RP11-697H9.5	chr11	63466186	0.000000
ENSG00000264981.1	RP11-434D2.10	chr17	20447386	0.000000
ENSG00000197557.6	TTC30A	chr2	178483644	0.137504
ENSG00000233540.1	DNM3-IT1	chr1	171833326	0.000000
ENSG00000252650.1	RNA5SP75	chr1	204676508	0.000000
ENSG00000102174.7	PHEX	chrX	22050558	1.622930
ENSG00000207754.1	MIR487B	chr14	101512791	0.000000
ENSG00000232001.1	AC108868.6	chr2	107159469	0.000000
ENSG00000166391.10	MOGAT2	chr11	75428863	0.000000
ENSG00000270469.1	RP11-411B10.8	chr18	14053949	0.000000
ENSG00000227959.1	RP11-276H7.2	chr1	16481705	0.000000
ENSG00000227586.4	RP11-162A23.5	chr10	124931341	0.000000
ENSG00000126267.4	COX6B1	chr19	36139124	2.448901
ENSG00000269148.1	AC092301.3	chr19	46333421	0.000000
ENSG00000179262.5	RAD23A	chr19	13056668	5.671293
ENSG00000251538.1	RP11-166A12.1	chr5	122040714	0.000000
ENSG00000152953.8	STK32B	chr4	5053168	0.000000
ENSG00000166368.2	OR2D2	chr11	6913780	0.000000
ENSG00000078668.9	VDAC3	chr8	42249141	2.757430
ENSG00000234900.1	RP1-278O22.2	chr20	10745884	0.000000
ENSG00000182648.7	LINC01006	chr7	156395839	0.545968
ENSG00000251044.1	CTD-2582M21.1	chr5	67670592	0.000000
ENSG00000101199.8	ARFGAP1	chr20	61904136	3.025029
ENSG00000249830.1	RP11-121L11.3	chr5	3452929	0.000000
ENSG00000225269.2	LINC00705	chr10	4697618	0.000000
ENSG00000214062.5	RP11-1E1.1	chr4	78004229	0.000000
ENSG00000270440.1	RP11-19H6.1	chr16	5888612	0.000000
ENSG00000095587.8	TLL2	chr10	98135068	0.028569
ENSG00000264198.1	RP11-94L15.2	chr17	37920039	0.084064
ENSG00000269113.3	TRABD2B	chr1	48459834	0.000000
ENSG00000185652.7	NTF3	chr12	5541277	0.000000
ENSG00000264085.1	MIR5004	chr6	33406107	0.000000
ENSG00000261475.2	CTD-2014E2.6	chr16	31564838	0.000000
ENSG00000008517.12	IL32	chr16	3115297	4.604281
ENSG00000266644.1	RP11-927P21.2	chr17	62895883	0.000000
ENSG00000227896.2	RP11-77P6.2	chr10	88281701	0.084064
ENSG00000229637.2	PRAC2	chr17	46800529	0.000000
ENSG00000088179.4	PTPN4	chr2	120517206	0.464668
ENSG00000166634.2	SERPINB12	chr18	61223392	0.000000
ENSG00000199812.1	RNU6-428P	chr3	146289263	0.028569
ENSG00000261789.1	RP11-709D24.5	chr16	4611613	0.000000
ENSG00000196167.5	COLCA1	chr11	111167153	0.028569
ENSG00000254092.1	RP11-369E15.3	chr8	20831338	0.000000
ENSG00000161558.6	TMEM143	chr19	48846198	0.286881
ENSG00000260900.1	RP11-19N8.3	chr16	33071256	0.000000
ENSG00000185615.11	PDIA2	chr16	333151	0.000000
ENSG00000250571.2	GLI4	chr8	144349602	0.464668
ENSG00000207630.1	MIR7-3	chr19	4770681	0.000000
ENSG00000264438.1	RN7SL560P	chr9	131472058	0.000000
ENSG00000219747.1	RP1-292B18.1	chr6	151420664	0.000000
ENSG00000207000.1	RNU6-820P	chr9	71550845	0.000000
ENSG00000254131.1	RP11-1007J8.1	chr8	42342117	0.000000
ENSG00000255193.1	RP11-945A11.1	chr11	23752133	0.000000
ENSG00000264104.1	RP11-638L3.4	chr18	65458222	0.000000
ENSG00000179833.4	SERTAD2	chr2	64880997	1.669027
ENSG00000165312.5	OTUD1	chr10	23728197	0.000000
ENSG00000221372.1	AC010739.1	chr2	41823525	0.000000
ENSG00000159618.11	GPR114	chr16	57576332	0.084064
ENSG00000158966.9	CACHD1	chr1	64936427	0.000000
ENSG00000234892.1	Z82214.2	chr22	43628146	0.000000
ENSG00000227535.2	RP11-809N15.2	chr6	105293645	0.000000
ENSG00000252628.1	RNU6-453P	chr17	42384455	0.000000
ENSG00000166007.11	TRIM51HP	chr11	55065658	0.000000
ENSG00000265191.1	RN7SL347P	chr15	44726451	0.000000
ENSG00000167768.4	KRT1	chr12	53071251	0.000000
ENSG00000171551.7	ECEL1	chr2	233347127	0.000000
ENSG00000136231.9	IGF2BP3	chr7	23357402	2.042644
ENSG00000273406.1	RP11-114O18.1	chr1	120619222	0.000000
ENSG00000147257.9	GPC3	chrX	132887679	0.000000
ENSG00000199903.1	RNU6-1273P	chr12	51431281	0.000000
ENSG00000257885.1	RP11-474C8.4	chr12	48563392	0.000000
ENSG00000200058.1	RNA5SP218	chr6	134578172	0.000000
ENSG00000218358.2	RAET1K	chr6	150326230	0.000000
ENSG00000266460.1	RP11-173L6.1	chr18	73580157	0.000000
ENSG00000264091.1	AP002495.1	chr11	71513645	0.000000
ENSG00000238921.2	AL360178.1	chr6	136235892	0.000000
ENSG00000269349.1	CTD-3099C6.5	chr19	53015545	0.000000
ENSG00000231078.1	RP11-560A15.4	chr20	55680796	0.000000
ENSG00000236998.2	RP11-203L2.3	chr9	71404536	0.000000
ENSG00000224563.1	LPP-AS1	chr3	188286404	0.000000
ENSG00000246526.2	RP11-539L10.2	chr4	6692196	0.000000
ENSG00000241670.2	AP006222.1	chr1	228604	0.000000
ENSG00000259659.1	RP11-151N17.1	chr15	44850026	0.000000
ENSG00000202175.1	RNA5SP128	chr3	33533540	0.000000
ENSG00000174442.7	ZWILCH	chr15	66797296	4.198494
ENSG00000120662.11	MTRF1	chr13	41800655	2.803227
ENSG00000235523.1	RP11-63P12.7	chr9	74872251	0.000000
ENSG00000249848.1	RP11-212F11.1	chr8	10195137	0.000000
ENSG00000265704.1	AC010595.1	chr5	84930229	0.000000
ENSG00000125827.4	TMX4	chr20	7994527	2.257011
ENSG00000230225.1	MTND5P14	chr9	5109495	0.000000
ENSG00000239877.2	IGSF11-AS1	chr3	118661919	0.000000
ENSG00000201398.1	U8	chr3	153725241	0.000000
ENSG00000272905.1	RP11-265E18.1	chr7	32885005	0.000000
ENSG00000215386.6	LINC00478	chr21	17442841	0.028569
ENSG00000164647.4	STEAP1	chr7	89783688	1.879706
ENSG00000225630.1	MTND2P28	chr1	565019	0.000000
ENSG00000230231.1	FMO7P	chr1	166443981	0.000000
ENSG00000231880.1	KBTBD4	chr11	47599276	0.000000
ENSG00000103089.4	FA2H	chr16	74750954	0.111031
ENSG00000227489.1	AC006458.3	chr7	15105831	0.000000
ENSG00000226688.2	ENTPD1-AS1	chr10	97667482	2.169925
ENSG00000013392.6	RWDD2A	chr6	83903097	0.189034
ENSG00000258279.2	LINC00592	chr12	52604713	0.000000
ENSG00000250929.2	KB-1639H6.4	chr8	104133259	0.000000
ENSG00000204581.2	AC096670.3	chr2	111871715	0.000000
ENSG00000265515.1	AC092287.1	chr16	18941554	0.000000
ENSG00000225620.1	RP11-569A11.2	chr1	202601555	0.000000
ENSG00000232638.1	RP11-379F12.4	chr10	8093503	0.000000
ENSG00000206260.2	PRR23A	chr3	138725060	0.000000
ENSG00000237786.1	GFOD1-AS1	chr6	13486525	0.084064
ENSG00000272911.1	RP11-74E22.6	chr17	2591766	0.000000
ENSG00000184178.11	SCFD2	chr4	54232178	4.620586
ENSG00000230039.1	RP11-314A15.2	chrX	65042041	0.000000
ENSG00000105281.8	SLC1A5	chr19	47287993	3.427606
ENSG00000244661.1	TRBV12-1	chr7	142216686	0.000000
ENSG00000069399.8	BCL3	chr19	45250961	0.111031
ENSG00000256014.1	AL031390.1	chr6	144439012	0.000000
ENSG00000164182.6	NDUFAF2	chr5	60240955	1.333424
ENSG00000232879.2	RP11-544M22.3	chr1	161004623	0.000000
ENSG00000105137.8	SYDE1	chr19	15218213	0.000000
ENSG00000136381.8	IREB2	chr15	78729772	5.036503
ENSG00000173566.9	NUDT18	chr8	21966860	0.526069
ENSG00000153015.11	CWC27	chr5	64064756	3.443607
ENSG00000254978.2	ALG1L9P	chr11	71515636	0.000000
ENSG00000214866.3	DCDC2C	chr2	3751452	0.000000
ENSG00000261949.1	CTD-3148I10.1	chr19	49927005	0.214125
ENSG00000202290.1	RNA5SP37	chr13	98015305	0.000000
ENSG00000254578.1	CTD-2517M22.16	chr8	145689199	0.000000
ENSG00000240710.1	RP11-430C7.4	chr1	204572162	0.000000
ENSG00000268889.1	CTD-2616J11.14	chr19	51897741	0.214125
ENSG00000268234.1	AL162415.2	chr9	44586264	0.000000
ENSG00000225215.1	SMARCE1P1	chr11	107275265	0.000000
ENSG00000036448.5	MYOM2	chr8	1993154	0.084064
ENSG00000257246.1	RP11-416A17.6	chr12	51519114	0.000000
ENSG00000250210.3	RP11-585F1.10	chr8	150513	0.000000
ENSG00000185269.7	NOTUM	chr17	79917636	0.084064
